
11 bit studios
Fantasy Flight Games
FANTASY PLUS
Farseer Games
FDG Entertainment GmbH & Co.KG
Feinheit kreativ studio GmbH
Fenix Fire Entertainment
Fields Corporation
Fingersoft
Finji
Fireproof Games
FiveThirty, Inc.
Fixpoint Productions
flaregames
Focus Home Interactive
Forever Entertainment
FORMOGA Entertainment
Four Pixels
Foursaken Media
Freyr Games
Frima Studio Inc.
Frogmind
Full Fat
Fun Games For Free
Funkoi LLC
funnel Inc.
Furun Wang
Fuse Powered Inc.
Future Games of London
FX Games Media
G.Gear.inc
G5 Entertainment
Game Circus LLC
game guild
Game Hive Corporation
Game Lounge
Game Oven
Game Studio Abraham Stolk
Gameday Inc.
GameKore Co.
Gameloft
gamenpeople
Gamepark Studio
Games89
GAMEVIL
GAMEVIL Inc.
Gamexy
Genera Games
Gig development
GIGL
Glu
GMO GameCenter, inc.
Gogii Games Corp.
Golden Game Barn
GoldenTricycle
Good Game & OXON game studio
Goodgame Studios
Goodia Inc.
Goorusoft
GREE, INC
GreenCod Apps
Greentube Internet Entertainment Solutions GmbH
Griptonite Games Inc
Halfbrick Studios
HandyGames
Harebrained Schemes
Headup Games
Hello There AB
Henchmen Interactive
Herotainment, LLC
Hexage Ltd
Hibernum Creations
hipopo(ヒポポ)
Hitorixon
Home Net Games
Hothead Games
HU WEN ZENG
Hullabu, Inc.
Hutch Games
Hyper Hippo Productions Ltd.
HyperDevbox
Ian MacLarty
IBZooT
Ice-Pick Lodge Studio
IGG.COM
Imangi Studios
Infinite Dreams
Infinite Games Studio
inkle Ltd
INTENIUM GmbH
Interactive Project
International Games System Co., Ltd.
InterPolygon Technologies Inc.
Invictus Games Ltd.
inXile entertainment
Ironhide Game Studio
IsAndroid
isTom Games
Italy Games
Janobe Studio
Jelly Button Games
Jesnel Productions
Joongly games
JSB games
Juicy Beast Studio
Jujubee S.A.
Kabam
Kairosoft Co.,Ltd
kanata
Kapo Games
Káwa Project
Kedoo Entertainment
KEMCO_GAMES (Kotobuki Solution Co., Ltd.)
Ketchapp
Kikiwik Games
Kiloo
Kim Stockton
King
KING Art Games
KintoGames
Kittehface Software
Kiwi, Inc.
Knights Digital
Knowledge Adventure, Inc.
Kobojo
KOEI TECMO GAMES CO., LTD.
Koma Studios
KONAMI
Konami Digital Entertainment, Inc.
Kongregate
Koto Media
Kumobius
kunabi brother
Kurius Games
Kuuluu Interactive Entertainment
Kybernesis
Laminar Research
Laser Dog
Lazy 8 Studios
Liào mào nù
Liber Primus Games
Lightbot
Limbic
Lincarton
Little Chicken Game Company
Little Killerz
Longtong Communication Co.,Ltd.
Lucid Games Limited
M Games
Macaron
MACE.Crystal studio
Machine Zone, Inc.
MADFINGER Games
MadSkill Game Studios, LLC.
Mageeks Apps & Games
Magnetic Stormz
Martin Magni
Marvel Games
Marvelous Games
Mass Creation
MasterArt
Maurice André Grodon
Max Games Studios
MEDIASOFT ENTERTAINMENT
Mediocre
Meeko Apps
Melesta Games
Metro Trains
Mface International
Mika Mobile
Mind Candy Ltd
Miniclip.com
miniyu
MISTWALKER CORPORATION
Mobage
Mobigame S.A.R.L.
Mobile Gaming Studios Ltd.
Mobile Home Office
MobileBits GmbH
MobileCraft
Mobirate Ltd
mobirix
Mojang
momoStorm
Monstro
Mooff Games Limited
Moon Active
Moonshark Inc.
Mountain Sheep
Mouse Games
Mozg Labs
MPI Games
Mr.Games
MultiCraft LLC
MY.COM
My.com BV
Mythec
Naomic Soft Co., Ltd.
Naquatic LLC
NaturalMotionGames Ltd
NEKKI
Nekki ©
Nevosoft Inc
NEXON M Inc.
NHN Entertainment Corp.
Nickelbits
Nickelodeon
NimbleBit LLC
ninja kiwi
Nitrome
Nival
NLABSOFT
Noble Empire
Noble Muffins
Nomad Games
Noodlecake Studios Inc
Nordic Pixel
Not Doppler
Noxus Ltd
Nubee Tokyo
NUDE MAKER
Oddworld Inhabitants Inc
Oddy Arts
OGUREC APPS
Old Skull Entertainment
OMGPOP
Once A Bird
One Man Left
ONi Games
OrangePixel
OranginalPlan
Ossian Studios Inc.
Outfit7
Outplay Entertainment Ltd
Outsmart
PagodaWest Games
Panda Zone
Panic Art Studios
Paramount Digital Entertainment
PATI Games Corp.
Phosphor Games Studio
PIKPOK
PINPIN TEAM
Pivot Games
Pixelbite
PIXOWL INC.
PJS-Coding, S.L.
Plarium Global Ltd
PlayBean Co., Ltd.
Playdead
Playdek, Inc.
Playmous
Playrise Digital Ltd
PlayStation Mobile Inc.
Playtap Games, LLC
playus soft
PNIX Games
Pocket Parade
Polygon Attraction
PONOS
POSSIBLE Games
Pragmatix
Psiphon Inc.
Psyop Google Play Developer
PURUMIRU ENTERTAINMENT
Pygmy Tyrant
Quantum Design Group
Radiangames
Rainbow Train
Raptor Interactive
Ratrod Studio Inc.
Ravensburger Digital GmbH
Ravn Studio
Rayark Inc.
Realore
Red Bull
redBit games
Reliance Big Entertainment (UK) Private Limited
Reludo srl
Revolution Software Ltd
Right Pedal Studios Publishing
RiliSoft
Ripstone Ltd
Roadhouse Games
Rockstar Games, Inc.
Rogue Play, Inc.
Room 8 LLP
RORTOS
Roshka Mobi
Rostos mobile
Rovio
Rovio Entertainment Ltd.
Runner Games
Rusman Soft
RV AppStudios
Samsung Sports Marketing
Scopely
Scott Cawthon
SCRAP
SEGA
SEGA CORPORATION
SEGA of America
Selvas
Semir Saleh
Senri
Seriously Digital Entertainment Ltd.
SGN
Shelly Alon
Shiny Box, LLC
Shiro Games
Shortbreak Studios s.c.
Shpaga Games
Signal Mobile LLC
SilverTree Media
Sirvo llc
Slick Entertainment Inc
Slush Games
Smartmove
Smartmove Premium
SMG Studio
SNK PLAYMORE
Social Quantum Ltd
socialpoint
SOFTSTAR ENTERTAINMENT INC.
Solar-Games
Soner Kara
Space Ape Games
spamfun
Sparkling Society ™
SPIKE CHUNSOFT
SQUARE ENIX
SQUARE ENIX Co.,Ltd.
Starship Studio
State of Play Games
STENA Dev
StephenAllen
Strategy First
studio baikin
Subatomic Studios, LLC
SummerTimeStudio Co.,ltd
Supercell
Surprise Attack Pty Ltd
Synaptic wave
Tangerine POP, LLC
tap4fun
Tapps - Top Apps and Games
Tapsoul Entertainment Co., LTD
Tatem Games
Tatsuki
Team 17 Digital Limited
Team Chaos
Team Signal
TeamIWMS
TeamLava Games
Telltale Games
Tequila Mobile
Terra Infinity UG
Tg-Game
ThankCreate Studio
The Binary Mill
The Fox Software
The Game Bakers
The LEGO Group
TheApps Games, LLC
TheOne Games
Thiago O Correia
Thumbstar Games Ltd
ThunderBull
Timuz
Tinker Games
Tiny Rebel Games
TinyCo
Tivola
Tiziano Games Co.
TMS Entertainment co., Ltd.
Toca Boca AB
Tokyo Traffic Jam
ToneBytes Games
Top Free Games.
Tortuga Team
Touch Dimensions
Touch Foo
Train LLC
Translimit, Inc
Transylgamia
TribePlay
Trickster Arts
Triniti Interactive
Triniti Interactive Ltd.
Triniti Interactive Studios Limited
True Axis
tsumanga studios limited
Tuokio Oy
Two Tribes
U-Play online
Ubisoft Entertainment
Uken Games
ULLUCUSHEAVEN Inc.
Ultrateam
Unalis corporation.
Unity Studios Aps
UP Game
Uppercut Games Pty Ltd
ustwo
VaragtP Studios
VascoGames
Vector Unit
Versus Evil
Visualworks Co., Ltd.
Vivid Games S.A.
VNG GAME STUDIOS
VNL Entertainment Ltd
VO DIGITAL ARTS
VRI Phantom
VST Games
Waldschrat Studios
Wargaming Asia
Wargaming SEA
Warner Bros. International Enterprises
Wattpad.com
WaveA PTE.LTD.
WAWOO Studio
Way Studio Game
WeeMe Studio
WeGo Interactive Co., LTD
WeirdBeard
WerakuGames
WGT inc.
Wicked Witch Software
Winter Wolves
WISTONE
Wizards of the Coast LLC
Wonderwood Games LLC
Wooga
Wright Flyer Studios, Inc.
WYSE GAMES LTD
Xform Games
XYRALITY GmbH
Yawsum LLC
Yazar Media Group LLC
Zabob Studio
Zadzen
Zakeh
Zeeppo Ltda.
Zen Studios
ZeptoLab
ZGame Lab
Zhurosoft, Inc.
Zindagi Games
ZuperGames
Zynga
[adult swim] games
Łukasz Jakowski
ハッピーゲーマー株式会社
上海中清龙图网络技术有限公司
上海剑圣网络科技有限公司
上海哈邻网络科技有限公司
上海巨人网络科技有限公司
上海悦腾网络科技有限公司
上海游娱信息技术有限公司
上海点点乐信息科技有限公司
上海爱特米科技有限公司
上海蛙扑网络技术有限公司
上海要玩网络技术有限公司
上海驰游信息技术有限公司
上海黑桃互动网络科技有限公司
乐逗游戏
乐道互动（天津）科技有限公司
北京北信科华科技有限公司
北京华清飞扬通信技术有限公司
北京和中科技有限公司
北京心游悦动科技有限公司
北京无忧互通网络科技有限公司
北京神奇时代网络有限公司
北京罗曼空间科技有限公司
合肥乐堂动漫信息技术有限公司
合肥完美世界网络技术有限公司
完美世界（重庆）互动科技有限公司
广州市叉叉信息科技有限公司
广州易诚计算机科技有限公司
广州菲音信息科技有限公司
成都卓星科技有限公司
成都天象互动科技有限公司
成都龙渊盛世科技有限公司
搜狐畅游
无锡要玩娱乐网络技术有限公司
智乐软件（北京）有限公司
杭州边锋网络技术有限公司
林東
株式会社リイカ
淮安有米信息科技有限公司
深圳岚悦网络科技有限公司
深圳市东方博雅科技有限公司
深圳市云海情天文化传播有限公司
深圳市华中天讯科技有限公司
深圳市金天泉科技有限公司
网易游戏
美娱信息技术（上海）有限公司
腾讯
苏州蜗牛数字科技股份有限公司
萍乡射雕科技有限公司
迅雷网络
重庆美奇互动科技有限公司
雷尚（北京）科技有限公司
骜游科技
